@relation featureVectorsDumpCaraotaDigitalCNNELaPatillaENTRENAMIENTO_OUTLIERS-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C9-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-L2-weka.filters.unsupervised.attribute.Remove-R9

@attribute hashtags numeric
@attribute mentions numeric
@attribute uppercase numeric
@attribute nonalpha numeric
@attribute urls numeric
@attribute len numeric
@attribute numbers numeric
@attribute spam {n,y}
@attribute ExtremeValue {no,yes}

@data
0,0,0.241379,0.52,1,0.861386,0,n,no
0,0,0.310345,0.6,1,0.722772,0,n,no
0,0,0.137931,0.24,0.5,0.287129,0,n,no
0.333333,0,0.206897,0.76,1,0.742574,0,n,no
0,0,0.310345,0.68,1,0.633663,0,y,no
0,0,0.172414,0.44,0.5,0.673267,0.666667,n,no
0,0,0.103448,0.44,0.5,0.673267,0,n,no
0,0,0.068966,0.16,0.5,0.524752,0.666667,n,no
0,0,0,0.32,0.5,0.49505,0,n,no
0.333333,0,0.310345,0.72,1,0.732673,0,y,no
0.333333,0,0.034483,0.32,0.5,0.584158,0.333333,n,no
0,0,0.275862,0.64,1,0.742574,0,y,no
0.333333,0,0.172414,0.44,0.5,0.910891,0,n,no
0,0,0.37931,0.52,1,0.831683,0,n,no
0,0,0.275862,0.64,0.5,0.811881,0.333333,y,no
0,0,0.034483,0.16,0.5,0.455446,0,n,no
0.666667,0,0.448276,0.88,1,0.851485,0,n,no
0,0,0.241379,0.36,1,0.742574,0,n,no
0,0,0.137931,0.64,1,0.712871,0.333333,y,no
0.333333,0,0.413793,0.4,1,0.762376,0,n,no
0,0,0.310345,0.4,1,0.910891,0,y,no
0.333333,0,0.206897,0.32,0.5,0.90099,0,n,no
0,0,0.137931,0.48,1,0.851485,0.333333,n,no
0.333333,0,0.241379,0.44,1,0.485149,0,y,no
0,0,0.62069,0.28,0.5,0.712871,0,n,no
0,0,0.034483,0.2,0.5,0.544554,0,n,no
0,0,0.275862,0.4,1,0.891089,0,n,no
0.333333,0,0.241379,0.52,1,0.792079,0.666667,n,no
0.333333,0,0.344828,0.6,1,0.762376,0.666667,n,no
0,0,0.103448,0.24,0.5,0.188119,0,n,no
0,0,0.137931,0.28,0.5,0.089109,0.333333,n,no
0,0,0.137931,0.32,0.5,0.336634,0,y,no
0.333333,0,0.137931,0.24,0.5,0.50495,0,y,no
0.333333,0,0.37931,0.52,1,0.712871,0.333333,n,no
0.333333,0,0.482759,0.84,1,0.891089,0,n,no
0,0,0.206897,0.28,0.5,0.613861,0.333333,n,no
0,0,0.275862,0.24,0.5,0.564356,0,n,no
0.333333,0,0.241379,0.8,1,0.811881,0,y,no
0,0,0.068966,0.24,0.5,0.475248,0.333333,n,no
0,0,0.137931,0.24,0.5,0.405941,0.666667,y,no
0,0,0.241379,0.2,0.5,0.455446,0.666667,n,no
0,0,0.068966,0.16,0.5,0.306931,0.333333,n,no
0,0,0.448276,0.8,1,0.871287,0,n,no
0.666667,0,0.482759,0.6,1,0.633663,0,y,no
0.333333,0,0.103448,0.4,0.5,0.643564,0,n,no
0,0,0.206897,0.44,1,0.623762,0,n,no
0,0,0.103448,0.32,0.5,0.257426,0,n,no
0,0,0.137931,0.4,0.5,0.564356,0,n,no
0.333333,0,0.275862,0.64,0.5,0.90099,0.666667,n,no
0,0,0.310345,0.32,1,0.742574,0,n,no
0,0,0.241379,0.28,0.5,0.683168,0,n,no
0,0,0.241379,0.52,1,0.70297,0,n,no
0,0,0.275862,0.48,1,0.742574,0,n,no
0,0,0.103448,0.2,0.5,0.178218,0,n,no
0,0,0.068966,0.36,0.5,0.405941,1,y,no
0,0,0.103448,0.44,0.5,0.693069,0.666667,n,no
0,0,0.551724,0.44,1,0.792079,0.333333,n,no
0,0,0.275862,0.32,1,0.851485,0,n,no
0.333333,0,0.275862,0.44,1,0.871287,0.333333,n,no
0,0,0.034483,0.56,0.5,0.851485,0.666667,y,no
0.333333,0,0.172414,0.12,0,0.415842,0,n,no
0,0,0.344828,0.56,1,0.831683,0,n,no
0.333333,0,0.275862,0.44,1,0.485149,0,n,no
0,0,0.413793,0.56,1,0.891089,0,n,no
0,0,0.275862,0.36,0.5,0.831683,0,n,no
0,0,0.241379,0.64,1,0.950495,0.333333,n,no
0,0,0.310345,0.56,1,0.693069,0,n,no
0.333333,0,0.413793,0.56,1,0.821782,0,n,no
0.333333,0,0.482759,0.32,0.5,0.623762,0,n,no
0,0,0.241379,0.64,1,0.752475,0,n,no
